,,,,,,,,,,
SLN,Course,Type,Credits,Title,Meetings,,,,"Grading
Option","More
Information"
,,,,,Days,Time,Location,Instructor,,
16438,LING 200 A,LC,5,INTRO LINGUISTICS,MWF,230- 320,GUG 220,"McGarrity,Laura W",,Researching? Start here
16440,LING 200 AB,QZ,0,INTRO LINGUISTICS,TTh,830- 920,SAV 130,"Zhang,Yuting",,
12815,CSE 340 A,LC,4,INTERACTION PROG,TTh,1130-1250,CSE2 G10,"Shapiro,Ben",,Researching? Start here
12816,CSE 340 AA,QZ,0,INTERACTION PROG,F,1030-1120,CSE2 G10,,,
12829A,CSE 351 A,LC,4,HW SW INTERFACE,MWF,1130-1220,CSE2 G01,"Garza,Elba",,Researching? Start here
12831,CSE 351 AB,QZ,0,HW SW INTERFACE,Th,930-1020,PAR 160,,,
12902,CSE 421 A,LC,3,INTRO TO ALGORITHMS,MWF,130- 220,CSE2 G20,"Oveis Gharan,Shayan",,Researching? Start here
12905,CSE 421 AC,QZ,0,INTRO TO ALGORITHMS,Th,130- 220,ECE 031,,,
12971,CSE 490 D,LC,1,SPECIAL TOPICS CSE,To be arranged,,,,,Researching? Start here
13011,CSE 590 E,SM,1,RESEARCH SEMINAR,Th,1030-1120,MGH 295,"Bricker,Lauren",CR/NC,Researching? Start here
Total credits: 18.0,,,,,,,,,,
